date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2025-03-13,2025,3,13,port2044,El Dekheila,Egypt,EGY,2,0,0,0,1,2,3,2192,0,0,0,35107,2192,37299,14269,0,0,0,0,14269,14269
2025-03-13,2025,3,13,port23,Alexandria,Egypt,EGY,3,2,3,0,2,8,10,12554,47529,3349,0,31617,63434,95051,1737,6628,4760,0,2861,13126,15988
2025-03-14,2025,3,14,port2044,El Dekheila,Egypt,EGY,4,2,0,0,0,6,6,4385,106743,0,0,0,111128,111128,7839,4840,0,0,0,12679,12679
2025-03-14,2025,3,14,port23,Alexandria,Egypt,EGY,3,4,8,0,0,15,15,27131,81703,21525,0,0,130360,130360,25787,7882,3920,0,0,37590,37590
2025-03-15,2025,3,15,port2044,El Dekheila,Egypt,EGY,5,3,0,0,0,8,8,27951,74949,0,0,0,102900,102900,8563,15705,0,0,0,24268,24268
2025-03-15,2025,3,15,port23,Alexandria,Egypt,EGY,6,2,2,1,2,11,13,50269,36615,4236,0,8654,91122,99777,50405,6789,1689,0,8019,58884,66904
2025-03-16,2025,3,16,port2044,El Dekheila,Egypt,EGY,1,1,0,0,2,2,4,2724,37474,0,0,36786,40198,76985,0,4840,0,0,30832,4840,35673
2025-03-16,2025,3,16,port23,Alexandria,Egypt,EGY,4,1,3,1,0,9,9,22424,23764,4865,1563,0,52617,52617,17558,3314,0,0,0,20872,20872
2025-03-17,2025,3,17,port2044,El Dekheila,Egypt,EGY,5,4,2,1,0,12,12,11609,155623,3198,0,0,170431,170431,12994,4840,1060,0,0,18895,18895
2025-03-17,2025,3,17,port23,Alexandria,Egypt,EGY,3,4,8,1,1,16,17,27131,88947,10024,649,33496,126753,160250,34522,13541,6461,116,0,54641,54641
2025-03-18,2025,3,18,port2044,El Dekheila,Egypt,EGY,3,2,0,0,0,5,5,2192,74949,0,0,0,77141,77141,6926,9680,0,0,0,16606,16606
